Date,Open,High,Low,Close,Adj Close,Volume
2021-11-01,356.149994,371.470001,356.140015,370.320007,370.320007,51382300
2021-11-02,371.079987,371.369995,370.920013,371.200012,371.200012,35646402
2021-11-03,370.000000,370.200012,365.029999,367.959991,367.959991,26685110
2021-11-05,366.989990,367.559998,358.519989,359.940002,359.940002,36230870
2021-11-08,362.570007,363.970001,355.619995,358.850006,358.850006,38265570
2021-11-09,358.410004,364.579987,356.299988,356.920013,356.920013,39147312
2021-11-10,356.700012,358.760010,350.839996,353.100006,353.100006,40586990
2021-11-11,356.440002,357.769989,356.440002,357.100006,357.100006,39703880
2021-11-12,356.239990,356.239990,339.679993,349.510010,349.510010,95558292
2021-11-15,349.239990,352.799988,342.760010,344.589996,344.589996,55727520
2021-11-16,344.429993,346.470001,336.010010,338.720001,338.720001,57589280
2021-11-17,338.489990,343.559998,336.600006,339.399994,339.399994,45870730
2021-11-18,338.970001,343.119995,333.500000,335.910004,335.910004,42058040
2021-11-19,339.369995,339.989990,325.700012,327.250000,327.250000,62664810
2021-11-22,326.049988,326.309998,309.040009,309.950012,309.950012,131785611
2021-11-23,306.279999,325.660004,300.109985,324.100006,324.100006,138040280
2021-11-24,328.000000,329.940002,317.350006,320.220001,320.220001,74328710
2021-11-25,321.549988,322.950012,316.109985,317.880005,317.880005,41362773
2021-11-26,322.350006,312.000000,304.000000,305.200012,305.200012,85174510
2021-11-29,311.109985,322.149994,309.519989,316.640015,316.640015,76907421
2021-11-30,311.000000,318.579987,310.220001,315.660004,315.660004,90010691
2021-12-01,321.299988,329.440002,319.510010,328.859985,328.859985,61569131
2021-12-02,325.399994,329.000000,320.540009,326.290009,326.290009,56956970
2021-12-03,327.600006,328.950012,320.149994,320.700012,320.700012,33506208
2021-12-06,323.820007,324.000000,304.179993,305.540009,305.540009,91708721
2021-12-07,311.019989,312.799988,300.500000,307.700012,307.700012,137485370
2021-12-08,312.790009,316.880005,291.570007,293.989990,293.989990,219821040
2021-12-09,295.260010,304.940002,292.700012,302.390015,302.390015,124703340
2021-12-10,300.730011,304.279999,294.429993,295.940002,295.940002,77309461
2021-12-13,300.000000,300.989990,281.029999,281.309998,281.309998,133347410
2021-12-14,274.859985,286.089996,272.079987,282.250000,282.250000,167136410
2021-12-15,286.100006,287.549988,279.440002,281.299988,281.299988,76184630
2021-12-16,290.010010,298.700012,288.570007,297.450012,297.450012,124081330
2021-12-17,295.000000,296.730011,291.609985,296.059998,296.059998,103989540
2021-12-20,287.869995,290.440002,285.630005,287.250000,287.250000,75111041
2021-12-21,292.279999,293.000000,286.760010,290.679993,290.679993,58072445
2021-12-22,290.750000,297.230011,289.230011,295.299988,295.299988,58788830
2021-12-23,296.480011,298.100006,291.260010,293.989990,293.989990,51431430
2021-12-24,293.549988,294.179993,289.000000,293.619995,293.619995,35224451
2021-12-27,294.660004,296.000000,293.369995,295.000000,295.000000,32633340
2021-12-28,297.250000,297.549988,294.179993,295.529999,295.529999,34364380
2021-12-29,294.470001,295.549988,291.329987,293.000000,293.000000,34820002
2021-12-30,293.140015,294.679993,291.519989,293.489990,293.489990,37121450
2022-01-03,296.100006,303.880005,296.000000,302.850006,302.850006,45109764
2022-01-04,308.529999,308.799988,301.630005,304.500000,304.500000,49869680
2022-01-05,302.709991,304.190002,297.059998,297.260010,297.260010,38421900
2022-01-06,292.829987,295.100006,287.420013,292.910004,292.910004,72853031
2022-01-10,296.989990,298.500000,288.679993,290.260010,290.260010,61468730
